Latitudine,Longitudine,Tipologia,Nome
40.4577322,-3.7017731,Supermarket,Supercor
40.4245711,-3.6542802,Supermarket,Ahorramás
40.3898446,-3.4839689,Supermarket,Supermercados Plaza
40.3955645,-3.4840225,Supermarket,Ahorramás
40.45797,-3.4535054,Supermarket,Ahorramás
40.475265,-3.4820266,Supermarket,Alcampo
40.4443653,-3.4628843,Supermarket,Mercadona
40.4483663,-3.467351,Supermarket,Lidl
40.4455819,-3.4628882,Supermarket,Unicor
40.6143693,-3.7074777,Supermarket,Aldi
40.4470595,-3.4605838,Supermarket,Ahorramás
40.4490813,-3.4707163,Supermarket,Mercadona
40.4171298,-3.5233973,Supermarket,La Plaza de DIA
40.4677058,-3.8716854,Supermarket,Ahorramás
40.4036977,-3.7083683,Supermarket,Carrefour Market
40.4046876,-3.7062622,Supermarket,Mercadona
40.4596891,-3.6961918,Supermarket,Dia
40.5055402,-3.8924138,Supermarket,Mercadona
40.349038,-3.8267642,Supermarket,Hiper Usera
40.4346742,-3.8128634,Supermarket,Dia
40.4337755,-3.6733457,Supermarket,La Plaza de DIA
40.4363439,-3.6759793,Supermarket,Dia
40.4447998,-3.6762732,Supermarket,Ahorramás
40.434222,-3.6737037,Supermarket,ALDI
40.4304838,-3.7087762,Supermarket,Supercor
40.4058129,-3.7079461,Supermarket,Dia
40.4122872,-3.7012279,Supermarket,Dia
40.345143,-3.8331018,Supermarket,Ahorramás
40.3456249,-3.8283344,Supermarket,Dia
40.3474669,-3.8284479,Supermarket,Eroski
40.3483603,-3.8320047,Supermarket,Ahorramás
40.3472026,-3.8319998,Supermarket,Dia
40.344606,-3.8237251,Supermarket,Eroski
40.3517688,-3.8286444,Supermarket,Condis
40.3433815,-3.8303392,Supermarket,Mundoprecio
40.348684,-3.8259219,Supermarket,Eroski
40.3261037,-3.7205366,Supermarket,Carrefour
40.3479992,-3.8273205,Supermarket,Dia
40.3459432,-3.8263651,Supermarket,Dia
40.3496624,-3.824041,Supermarket,Eroski
40.4758295,-3.6654539,Supermarket,Dia
40.4752935,-3.6647201,Supermarket,Supersol
40.3495846,-3.8232747,Supermarket,Dia
40.3870009,-3.7126772,Supermarket,Ahorramás
40.4672274,-3.876292,Supermarket,Mercadona
40.4022712,-3.700676,Supermarket,Supermercado Hiper Usera
40.4039041,-3.7143945,Supermarket,Supermercado Eco-Mor
40.4042388,-3.7120734,Supermarket,Supercor
40.3990274,-3.7028284,Supermarket,Alcampo
40.3712496,-3.6951172,Supermarket,Lidl
40.3719903,-3.6950556,Supermarket,Mercadona
40.4220427,-3.69745,Supermarket,Supercor
40.4658807,-3.6316252,Supermarket,Ahorramás
40.4586179,-3.4475865,Supermarket,Ahorra Más
40.4728044,-3.6510263,Supermarket,Dia
40.3457515,-3.8172137,Supermarket,Ahorramás
40.3444922,-3.8168221,Supermarket,Dia
40.5407781,-3.4652627,Supermarket,Mercadona
40.5420692,-3.4632365,Supermarket,Maxi Dia
40.5413419,-3.462615,Supermarket,Alcampo
40.4530294,-3.5909362,Supermarket,Dia
