Latitudine,Longitudine,Tipologia,Nome
48.83919,2.3005803,Supermarket,Carrefour City
48.9242568,2.1873905,Supermarket,Casino
48.8366855,2.2949206,Supermarket,Monoprix Convention
48.836409,2.2951587,Supermarket,Carrefour City
48.8457441,2.2873712,Supermarket,Carrefour City
48.8303333,2.3286779,Supermarket,Monoprix
48.8534094,2.3325318,Supermarket,Monoprix
48.8640484,2.3781979,Supermarket,Lidl
48.863505,2.3812718,Supermarket,Franprix
48.8584763,2.3805487,Supermarket,Auchan
48.8259344,2.197882,Supermarket,Carrefour City Ville d'Avray
48.8711736,2.3599059,Supermarket,Carrefour City
48.8515486,2.4016481,Supermarket,G20
48.8290829,2.3235897,Supermarket,Monoprix
48.8520109,2.4060046,Supermarket,Carrefour City
48.8527019,2.4240926,Supermarket,Les Nouveaux Robinson
48.8689224,2.3747761,Supermarket,ALDI
48.8764439,2.3684913,Supermarket,Bio C' Bon
48.8705122,2.3709103,Supermarket,G20
48.8701691,2.3721452,Supermarket,Monoprix
48.8684943,2.3689987,Supermarket,Carrefour City
48.8452423,2.4347501,Supermarket,Naturalia
48.8668657,2.36718,Supermarket,Carrefour
48.86625,2.3794293,Supermarket,Casino
48.8321341,2.3623851,Supermarket,Carrefour Market
48.8485694,2.3787232,Supermarket,Europasie
48.8646946,2.3555746,Supermarket,Naturalia
48.8860129,2.3833794,Supermarket,Monoprix
48.9027596,2.2683176,Supermarket,Monoprix
48.8740289,2.3897101,Supermarket,Naturalia
48.83663,2.281916,Supermarket,Casino
48.8211089,2.4137767,Supermarket,Monoprix
48.9172735,2.3521903,Supermarket,monop'
48.8269726,2.2775317,Supermarket,Monoprix
48.8862586,2.3189581,Supermarket,Franprix
48.8820794,2.3158563,Supermarket,Monoprix
48.8335637,2.3217193,Supermarket,Franprix
48.8410504,2.394404,Supermarket,Auchan Supermarché
48.8377287,2.4014374,Supermarket,Monoprix
48.8351529,2.3027945,Supermarket,Carrefour Market
48.8357197,2.3963937,Supermarket,Carrefour City
48.8343203,2.3972498,Supermarket,Franprix
48.8378906,2.2979809,Supermarket,My Auchan
48.8831416,2.4365958,Supermarket,Coccimarket
48.8299505,2.3776687,Supermarket,Monoprix
48.82682,2.3384839,Supermarket,Sitis Market
48.8259414,2.3467822,Supermarket,Auchan Supermarché
48.8284354,2.3440973,Supermarket,Monoprix
48.8395966,2.4017107,Supermarket,Leader Price
48.852057,2.4019633,Supermarket,Carrefour Market
48.8690504,2.2247396,Supermarket,Carrefour Market
48.8313155,2.3153662,Supermarket,Auchan
48.8550706,2.3730736,Supermarket,Naturalia
48.8646989,2.3689158,Supermarket,Naturalia
48.8567374,2.3795945,Supermarket,Monoprix
48.8386023,2.3899562,Supermarket,Monoprix
48.8644747,2.2879509,Supermarket,Bio C' Bon
48.846186,2.3882212,Supermarket,Monoprix
48.8437369,2.3894677,Supermarket,Biocoop
48.8736501,2.3851014,Supermarket,Carrefour City
48.8377927,2.3194776,Supermarket,Franprix
48.8891267,2.1943812,Supermarket,Franprix
48.889791,2.1980349,Supermarket,Franprix
48.8510882,2.3764471,Supermarket,Carrefour City
48.8491029,2.3730017,Supermarket,Marché Franprix
48.8233963,2.3660652,Supermarket,Paris Store
48.8744523,2.3285538,Supermarket,Monoprix
48.9444614,2.2537308,Supermarket,Géant
48.8890882,2.2198405,Supermarket,Carrefour Market
48.888199,2.3259122,Supermarket,Coccimarket city
48.8548362,2.3059829,Supermarket,Carrefour City
48.8471183,2.3177609,Supermarket,À 2 Pas Auchan
48.8926398,2.3163584,Supermarket,Carrefour City
48.8893922,2.3195945,Supermarket,G20
48.9064403,2.2842369,Supermarket,Monoprix
48.8893257,2.3220647,Supermarket,Super U
48.8940635,2.3281241,Supermarket,Carrefour Market
48.8935528,2.3274406,Supermarket,monop'
48.9107645,2.2211037,Supermarket,Carrefour Contact Nanterre République
48.881659,2.2713466,Supermarket,Monoprix
48.883404,2.288441,Supermarket,Franprix
48.8848994,2.2911875,Supermarket,Carrefour City
48.8899119,2.1951124,Supermarket,Naturalia
48.8270785,2.3688229,Supermarket,Naturalia
48.8333174,2.3646475,Supermarket,Monoprix
48.8331196,2.3540446,Supermarket,Carrefour City
48.8210241,2.3033306,Supermarket,Intermarché
48.8855549,2.3755636,Supermarket,Biocoop
48.8370296,2.2967061,Supermarket,Biocoop
48.8364139,2.31054,Supermarket,Carrefour City
48.9031398,2.3311543,Supermarket,Franprix
48.9038909,2.3314231,Supermarket,Lidl
48.9041025,2.3314982,Supermarket,Naturalia
48.9059002,2.3315466,Supermarket,Monoprix
48.8911844,2.1953346,Supermarket,Carrefour City
48.8871367,2.2083858,Supermarket,Lidl
48.9309068,2.3836322,Supermarket,Leader Price
48.8683839,2.4012014,Supermarket,Intermarché Express
48.8534793,2.3370935,Supermarket,Carrefour Market
48.8938852,2.1959093,Supermarket,Biocoop
48.8447404,2.3092568,Supermarket,Bio C' Bon
48.8763021,2.3355074,Supermarket,Franprix
48.8446144,2.187228,Supermarket,U Express
48.8649544,2.3543742,Supermarket,Carrefour Bio
48.873871,2.3754889,Supermarket,Wing Seng
48.8700969,2.3945662,Supermarket,Carrefour Market
48.8722964,2.376306,Supermarket,Paris Store
48.8727703,2.3788139,Supermarket,Les halles de l'Asie - 新今日超市
48.829374,2.2836587,Supermarket,Carrefour City
48.8849482,2.4002754,Supermarket,Monoprix
48.9142691,2.2745382,Supermarket,Monoprix
48.9165493,2.2905623,Supermarket,Casino
48.8524375,2.2904073,Supermarket,My Auchan
48.8663061,2.3318256,Supermarket,A2 Pas
48.8675731,2.3319558,Supermarket,Maison Plisson
48.8693514,2.3369547,Supermarket,Carrefour Market
48.8297772,2.2324226,Supermarket,Carrefour Market
48.8629397,2.3621533,Supermarket,Jouannault - Cheese Shop
48.8783342,2.3857466,Supermarket,Auchan Supermarché
48.846769,2.341879,Supermarket,Le Retour à la Terre Rive Gauche
48.8851395,2.1956996,Supermarket,Franprix
48.8964774,2.2080367,Supermarket,Intermarché
48.8621132,2.3848859,Supermarket,Lidl
48.8808303,2.3650793,Supermarket,Biocoop
48.8815464,2.3661885,Supermarket,Dia
48.8799269,2.3724859,Supermarket,HyperCacher
48.9348823,2.3332671,Supermarket,Lidl
48.8325723,2.312782,Supermarket,Franprix
48.9103781,2.287573,Supermarket,Franprix
48.8621754,2.4002743,Supermarket,Naturalia
48.8777945,2.3400334,Supermarket,Franprix
48.874219,2.3636454,Supermarket,Franprix
48.9013633,2.3164772,Supermarket,Lidl
48.9021175,2.3172568,Supermarket,Aldi
48.8417016,2.3323619,Supermarket,Carrefour City
48.8429549,2.338141,Supermarket,Les Nouveaux Robinson
48.8743843,2.3197499,Supermarket,Monoprix
48.8993471,2.2093034,Supermarket,Sitis Market
48.8772158,2.3147005,Supermarket,Supermarché G20
48.9238589,2.2532235,Supermarket,Monoprix
48.8342529,2.2437679,Supermarket,Naturalia
48.8229679,2.3277283,Supermarket,Lidl
48.839317,2.2458646,Supermarket,Hyper Casher
48.8707106,2.3061618,Supermarket,Monoprix
48.8372799,2.3541983,Supermarket,Carrefour Market
48.8736047,2.1813635,Supermarket,Monoprix
48.8217929,2.3436401,Supermarket,Le Marché Rungis
48.8417832,2.3170834,Supermarket,Casino
48.8636484,2.3463257,Supermarket,Naturalia
48.8826348,2.3600678,Supermarket,G20
48.8701333,2.3495998,Supermarket,Carrefour City
48.894752,2.4041298,Supermarket,Marché Franprix
48.8992329,2.293689,Supermarket,8 à Huit
48.8430474,2.3026837,Supermarket,Carrefour City
48.8822005,2.3667566,Supermarket,Franprix
48.8497736,2.3813287,Supermarket,Carrefour City
48.8385482,2.2902657,Supermarket,Bio C' Bon
48.8261282,2.2800043,Supermarket,Carrefour City
48.850061,2.3793149,Supermarket,E. Leclerc relais
48.8660666,2.2739354,Supermarket,U Express
48.8598715,2.4207468,Supermarket,Globus
48.8837755,2.2243019,Supermarket,Marché Franprix
48.8505898,2.4382605,Supermarket,Intermarché Express
48.8479482,2.4489972,Supermarket,U Express
48.8496593,2.2729682,Supermarket,Marché Franprix
48.876319,2.4041304,Supermarket,Carrefour City
48.8301941,2.245658,Supermarket,Auchan Supermarché
48.8263935,2.3267582,Supermarket,Carrefour Drive Piéton
48.8814932,2.2696586,Supermarket,monop'
48.8525562,2.2684402,Supermarket,G20
48.9104797,2.2550337,Supermarket,Auchan Supermarché
48.8233144,2.32716,Supermarket,Leader Price
48.8264267,2.3119759,Supermarket,Auchan
48.8269318,2.2471654,Supermarket,Carrefour Bio
48.8280974,2.2465088,Supermarket,G20
48.8288503,2.2466087,Supermarket,Biocoop
48.8458418,2.2556708,Supermarket,Carrefour
48.8404262,2.2334423,Supermarket,Monoprix
48.8607422,2.3534344,Supermarket,Carrefour City
48.8582211,2.3516426,Supermarket,Naturalia
48.8399137,2.2391953,Supermarket,Carrefour City
48.8453564,2.2373109,Supermarket,Carrefour City
48.8457213,2.2369133,Supermarket,Naturalia
48.8260056,2.3515668,Supermarket,Carrefour Market
48.8416571,2.2391324,Supermarket,Carrefour City
48.8379482,2.2960836,Supermarket,Franprix
48.8363144,2.298982,Supermarket,Naturalia
48.8368235,2.3187993,Supermarket,Biocoop
48.890617,2.324533,Supermarket,Biocoop
48.8515538,2.2912722,Supermarket,Biocoop
48.8193588,2.3600138,Supermarket,Carrefour City
48.8694849,2.4494872,Supermarket,Super U
48.8349191,2.2547774,Supermarket,Carrefour City
48.8345678,2.2546123,Supermarket,Carrefour Bio
48.8928836,2.2855694,Supermarket,Franprix
48.8848671,2.3799067,Supermarket,Carrefour City
48.8265894,2.3691433,Supermarket,Carrefour City
48.8967948,2.2864169,Supermarket,Franprix
48.8812751,2.2385666,Supermarket,Monoprix
48.8755077,2.2840744,Supermarket,Carrefour City
48.8489245,2.2975729,Supermarket,Monoprix
48.8449526,2.2857911,Supermarket,La Vie Claire
48.851792,2.277352,Supermarket,monop'
48.8862878,2.2313707,Supermarket,Franprix
48.8510585,2.3756145,Supermarket,Bio C' Bon
48.8453365,2.2355796,Supermarket,Votre Marché
48.907758,2.261484,Supermarket,Monoprix
48.8384314,2.2895621,Supermarket,G20
48.8568548,2.3944791,Supermarket,Leader Price
48.878931,2.4116596,Supermarket,Carrefour Market
48.8717702,2.3766798,Supermarket,Chen Market
48.8740981,2.3550319,Supermarket,Monoprix
48.8544407,2.3918923,Supermarket,Franprix
48.8412537,2.3893027,Supermarket,Intermarché Express
48.8818286,2.3399461,Supermarket,Carrefour Market
48.8645595,2.3724031,Supermarket,Marché U
48.8701117,2.3550628,Supermarket,Lidl
48.8793569,2.4151266,Supermarket,Naturalia
48.8415755,2.2371754,Supermarket,Super Cach
48.8457406,2.3127192,Supermarket,G20
48.8863551,2.180239,Supermarket,Carrefour Market
48.8848194,2.2583643,Supermarket,Primeur x Éthique
48.8386983,2.2904723,Supermarket,Franprix
48.8759937,2.3404635,Supermarket,Carrefour City
48.8647366,2.3858705,Supermarket,Aldi
48.848189,2.2839192,Supermarket,Monoprix
48.8730539,2.3622468,Supermarket,Carrefour City
48.9373262,2.3599093,Supermarket,Carrefour Saint-Denis
48.8460628,2.3516351,Supermarket,Carrefour Market
48.8839929,2.265733,Supermarket,Monoprix
48.8936308,2.3801106,Supermarket,Carrefour City
48.8453338,2.2971759,Supermarket,Carrefour City
48.883216,2.288096,Supermarket,Auchan
48.8494462,2.3748652,Supermarket,Pastifico Passerini- pasta shop
48.8924571,2.2388368,Supermarket,Monoprix
48.8432007,2.2320819,Supermarket,Les Nouveaux Robinson
48.8423105,2.2302594,Supermarket,monop'
48.8242287,2.3584557,Supermarket,Monoprix
48.9015211,2.2664309,Supermarket,Franprix
48.8255531,2.2935408,Supermarket,Carrefour Market
48.9114739,2.1799207,Supermarket,Casino
48.9091822,2.1777959,Supermarket,Franprix
48.8449862,2.2876194,Supermarket,Intermarché
48.8797902,2.291263,Supermarket,Carrefour Market
48.8635531,2.2094012,Supermarket,Casino
48.8764227,2.1820351,Supermarket,Carrefour City
48.8775838,2.1787147,Supermarket,Carrefour City
48.8794459,2.1798375,Supermarket,U Express
48.8658731,2.20234,Supermarket,Lidl
48.8960739,2.2491915,Supermarket,A2pas
48.8442494,2.3838139,Supermarket,Aldi
48.8816352,2.2250519,Supermarket,Carrefour Express
48.8653188,2.3763298,Supermarket,Pick-up drive
48.8994593,2.2461715,Supermarket,Carrefour City
48.8392119,2.3946987,Supermarket,Auchan Supermarché
48.8622321,2.2761349,Supermarket,Casino
48.826016,2.4054078,Supermarket,Auchan Supermaché Charenton
48.8933957,2.3335323,Supermarket,Monoprix
48.8321025,2.3445967,Supermarket,Biocoop
48.941101,2.3525864,Supermarket,Franprix
48.8326499,2.2280034,Supermarket,Coccinelle Express
48.8377768,2.3074246,Supermarket,Carrefour Market
48.865499,2.3352849,Supermarket,K-mart
48.876751,2.3395102,Supermarket,Naturalia Origines
48.8745823,2.3546682,Supermarket,So.bio
48.8678917,2.3455591,Supermarket,Bio C' Bon
48.9123204,2.3353873,Supermarket,Franprix
48.818284,2.246213,Supermarket,Carrefour City
48.8414253,2.2875706,Supermarket,Monoprix
48.8832458,2.4254505,Supermarket,Leader Price
48.8367077,2.3729356,Supermarket,Franprix
48.8980493,2.2470738,Supermarket,A2Pas
48.9009724,2.2677795,Supermarket,G20
48.8960005,2.2769038,Supermarket,Marché Franprix
48.8955733,2.2758288,Supermarket,Carrefour City
48.8664526,2.333868,Supermarket,Monoprix
48.8454572,2.3809648,Supermarket,Marché Franprix
48.8332568,2.331206,Supermarket,Monoprix
48.8414284,2.3267209,Supermarket,U Express
48.8652277,2.4438094,Supermarket,G20
48.839383,2.257577,Supermarket,Carrefour City
48.827104,2.3091222,Supermarket,Carrefour Market
48.8946119,2.3446323,Supermarket,G20
48.894008,2.342013,Supermarket,Monoprix
48.8935226,2.3422123,Supermarket,Franprix
48.8688286,2.3633449,Supermarket,Marché Franprix
48.8550011,2.3062259,Supermarket,Naturalia
48.8678799,2.3840623,Supermarket,Carrefour City
48.8564342,2.373694,Supermarket,Carrefour City
48.8383172,2.2283854,Supermarket,Franprix
48.8200092,2.2909671,Supermarket,Intermarché
48.94147,2.4428888,Supermarket,E. Leclerc
48.8275647,2.273652,Supermarket,Carrefour City
48.9151708,2.2578683,Supermarket,Franprix
48.9554806,2.3839012,Supermarket,Franprix
