variety,points,price
Ugni Blanc-Colombard,85.92307692307692,10.583333333333334
Uva di Troia,87.57142857142857,24.76923076923077
Uvalino,88.0,29.0
Valdiguié,86.33333333333333,18.666666666666668
Valvin Muscat,87.0,13.0
Veltliner,90.0,29.5
Verdeca,86.0,15.5
Verdejo,86.38147138964578,16.10989010989011
Verdejo-Sauvignon Blanc,85.14285714285714,12.0
Verdejo-Viura,85.72727272727273,10.954545454545455
Verdelho,87.0111111111111,18.765432098765434
Verdicchio,87.70833333333333,22.135802469135804
Verdil,86.0,18.0
Verdosilla,84.0,17.0
Verduzzo,89.625,28.857142857142858
Verduzzo Friulano ,88.5,37.375
Vermentino,87.42181818181818,22.651452282157678
Vermentino Nero,88.0,45.0
Vernaccia,87.04729729729729,18.62686567164179
Vespaiolo,88.0,25.0
Vespolina,88.0,25.0
Vidadillo,89.0,24.0
Vidal,89.27272727272727,40.90909090909091
Vidal Blanc,87.0,34.5
Vignoles,85.05882352941177,16.764705882352942
Vilana,85.5,12.833333333333334
Vinhão,86.8,22.0
Viognier,87.51203966005666,24.921863799283155
Viognier-Chardonnay,85.57142857142857,19.1
Viognier-Gewürztraminer,86.0,15.0
Viognier-Grenache Blanc,89.66666666666667,32.0
Viognier-Marsanne,88.0,20.166666666666668
Viognier-Roussanne,88.58333333333333,24.0
Viognier-Valdiguié,84.0,17.0
Viosinho,88.75,24.5
Vital,90.0,
Vitovska,90.33333333333333,64.33333333333333
Viura,85.04827586206896,14.202797202797203
Viura-Chardonnay,84.625,10.4375
Viura-Sauvignon Blanc,84.0,13.0
Viura-Verdejo,84.5,12.0
Vranac,86.0,11.0
Vranec,85.75,15.5
Weissburgunder,89.08196721311475,25.333333333333332
Welschriesling,89.29729729729729,32.54545454545455
White Blend,87.25819935691318,22.91958041958042
White Port,88.66666666666667,27.0
White Riesling,88.24137931034483,20.06896551724138
Xarel-lo,86.09375,19.193548387096776
Xinisteri,84.5,15.0
Xinomavro,86.62,22.081632653061224
Xynisteri,87.0,18.5
Yapincak,85.5,18.0
Zelen,88.0,
Zibibbo,90.27027027027027,37.34375
Zierfandler,90.53333333333333,32.36363636363637
Zierfandler-Rotgipfler,90.4,23.75
Zinfandel,87.31650893796004,28.309799789251844
Zlahtina,86.66666666666667,15.333333333333334
Zweigelt,87.95081967213115,21.474654377880185
Çalkarası,86.5,19.0
Žilavka,87.0,14.0
